"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"2","Dev1","src/main/resources/liquibase/changes/generateTable.xml","2021-01-05T21:48:40.001","1","EXECUTED","8:44b7556b6430d03423ee618943433237","createTable tableName=primenumbers","","","4.2.2","()","","9879719744"
"2","Dev1","src/main/resources/liquibase/changes/fillTableWithStaticData.xml","2021-01-05T21:48:40.023","2","EXECUTED","8:beca6761baeea74d7c59748e9c79c3c4","loadData tableName=primenumbers",,"","4.2.2","()","","9879719744"
